Headline,Publication,Date
"Jimmy Kimmel, 'Troompa Loompas' Slam Donald Trump For Name-Calling","The Huffington Post, 337 words",6/29/16
IN BRIEF,"Business Insurance Print Version; Pg. 8; Vol. 50, 1491 words",7/4/16
Ivanka Trump: 'My Father Is A Feminist',"The Huffington Post, 589 words",7/5/16
The Dallas lessons,"The News International; Vol. 26; No. 127, 525 words",7/10/16
These Republicans Are Under Trump's Skin,"The Huffington Post, 514 words",7/11/16
Comedian Jim Jefferies Says Trump 'Is Like A Kid Running For Class President',"The Huffington Post, 332 words",7/12/16
Bill Maher Reveals '25 Things You Don't Know' About Donald Trump,"The Huffington Post, 537 words",7/16/16
"Why political violence, so far, isn't as bad as 1960s;The media may be exaggerating the potential for a politically polarized America to erupt into violence, including at this week's GOP convention, say experts. Still, there's a need for national soul-searching.","The Christian Science Monitor, USA, 1412 words",7/17/16
State Delegations Walk Out On Trump,"The Huffington Post, 530 words",7/18/16
What RNC Trump Supporters Want The Donald To Change About America,"The Huffington Post, 464 words",7/19/16
"Donald Trump Looks Up To Ronald Reagan, But He's Nothing Like Him","The Huffington Post, 608 words",7/19/16
"The Mind-Set That Drives Fear, Hate and Donald Trump","The Nation Blogs, 492 words",7/19/16
Michael Che Uses Trumpemon Go To Find Rare Minorities At The Republican National Convention,"The Huffington Post, 312 words",7/21/16
Here's Why Michael Moore Thinks Trump Will Win,"The Huffington Post, 504 words",7/21/16
Mike Pence Says Trump 'Will Stand With Our Allies.' Trump Says The Opposite.,"The Huffington Post, 618 words",7/21/16
How Newspapers Responded To Donald Trump's Historic Night,"The Huffington Post, 458 words",7/22/16
Elizabeth Warren Blasts Donald Trump's '2-Bit Dictator' RNC Speech,"The Huffington Post, 466 words",7/22/16
John Oliver Reveals The Real Theme Of The 2016 GOP Convention,"The Huffington Post, 441 words",7/25/16
Mother Of Benghazi Victim Doesn't Want Trump Using Her Son's Name,"The Huffington Post, 612 words",7/25/16
Searches For 'Donald Trump Treason' Spike Following Russia Comments,"The Huffington Post, 701 words",7/27/16
New York Daily News On 'Treasonous' Donald Trump: Lock Him Up!,"The Huffington Post, 544 words",7/28/16
9 Republican Babies Who Simply Can't Endorse Trump,"The Huffington Post, 359 words",8/1/16
John Oliver Shreds 'Self-Serving Half-Man' Donald Trump Over Response To Khizr Khan,"The Huffington Post, 549 words",8/1/16
Stephen Colbert Has Some Incredibly Blunt 'Werds' For Donald Trump,"The Huffington Post, 323 words",8/2/16
Disturbing Video Shows Actual Things People Say At Trump Rallies,"The Huffington Post, 322 words",8/3/16
Bratton: Trump 'Scares The Hell Out Of Me',"The Huffington Post, 438 words",8/3/16
Suicide Squad' Made Its Bed With A Key Donald Trump Supporter,"The Huffington Post, 607 words",8/5/16
Fox News Coverage Gives Donald Trump Mastery Over Both Politics And The Economy,"The Huffington Post, 781 words",8/5/16
Bill Maher: Democrats Must Ditch Pet Causes To Stop 'Infection' Of Trump,"The Huffington Post, 468 words",8/6/16
Trevor Noah Agrees With Donald Trump That The Election Is Rigged,"The Huffington Post, 505 words",8/9/16
"Unlike the IRA, the ISIL project will outlive ISIL itself","The National, 785 words",8/10/16
POLITICAL VIOLENCE: TRUMP'S 2ND AMENDMENT PEOPLE VS. HILLARY'S 'ACTIVISTS',"States News Service, 5920 words",8/11/16
TRUMP RHETORIC TAKES SCARY TURN,"Spokesman Review (Spokane, WA), A; Pg. 015, 772 words",8/12/16
"Amy Goodman and Denis Moynihan: Donald Trump's assassination threat, Fox News and the NRA","The Daily Cardinal: University of Wisconsin - Madison, NEWS; Pg. 1, 869 words",8/12/16
Donald Trump Says He'll Get Into Heaven If He Becomes President,"The Huffington Post, 406 words",8/12/16
Watch Donald Trump's Foreign Policy Speech Live,"The Huffington Post, 561 words",8/15/16
Ballet Legend Mikhail Baryshnikov Warns Against Donald Trump's Authoritarianism,"The Huffington Post, 603 words",8/17/16
Donald Trump Apparently Thought He Could Be A Reality TV Star And President At The Same Time,"The Huffington Post, 618 words",8/22/16
Donald Trump Won't Stop Talking About How 'Healthy' He Is,"The Huffington Post, 412 words",8/26/16
Donald Trump Finally Begins Major Spending On Television Ads Against Hillary Clinton,"The Huffington Post, 544 words",8/29/16
Seth Meyers Hilariously Explores How Clinton And Trump Are Getting Ready For Debates,"The Huffington Post, 437 words",8/30/16
Paul Ryan Made A Video Hyping The GOP. But He Forgot Someone.,"The Huffington Post, 563 words",8/30/16
Donald Trump Can't Resist Slamming 'Morning Joe' Hosts On Twitter,"The Huffington Post, 556 words",9/2/16
Donald Trump Will Not Stop Lying About The Iraq War,"The Huffington Post, 650 words",9/8/16
Protester With Oxygen Tank Allegedly 'Cold-Cocked' By Trump Supporter At N.C. Rally,"The Huffington Post, 513 words",9/14/16
Keith Olbermann Calls Donald Trump Jr. An 'A**hole' For Making Holocaust Joke,"The Huffington Post, 480 words",9/15/16
Tuesday News: 'A vote for Trump is a vote for climate catastrophe'; 'Trump Jr compares refugees to poisoned Skittles',"Newstex BlogsBlue Virginia, 1427 words",9/20/16
Only Lin-Manuel Miranda Could Turn Trump's Tweets Into Something We Want To Pay Attention To,"The Huffington Post, 379 words",9/20/16
Bono: Donald Trump Is Potentially The Worst Idea That Ever Happened To America,"The Huffington Post, 411 words",9/21/16
How Trump winks at political violence,"The Moderate Voice, 824 words",9/21/16
Stephen Colbert Has Donald Trump's Sniffing Problem All Figured Out,"The Huffington Post, 367 words",9/27/16
These Are The Best Moments From The First Presidential Debate,"The Huffington Post, 384 words",9/27/16
Van Jones Reminds Donald Trump There's No Credit 'For Most Improved Bigot',"The Huffington Post, 410 words",9/27/16
Mexican Literary Magazine Gives 'American Fascist' Donald Trump A Hitler Mustache,"The Huffington Post, 467 words",9/29/16
Bill Maher Hilariously Reveals The Unheard-Of Magazines Endorsing Donald Trump,"The Huffington Post, 521 words",10/1/16
These First-Graders Reacting To Trump Are All Of Us,"The Huffington Post, 422 words",10/6/16
You Can Now Buy 'Icky Trump' T-Shirts Thanks To The White Stripes,"The Huffington Post, 515 words",10/6/16
Mike Pence 'Offended' By Donald Trump's Lewd Remarks About Women,"The Huffington Post, 385 words",10/8/16
Joe Biden Says Trump's Comments About Women Were 'Sexual Assault',"The Huffington Post, 427 words",10/8/16
Hillary Clinton And Donald Trump Did Not Shake Hands Before Their Second Debate,"The Huffington Post, 405 words",10/10/16
Trump's Claim The Debate Moderators Shorted Him On Time Is Totally Bogus,"The Huffington Post, 570 words",10/10/16
Another book spotlights Kilgore's role,"Newstex BlogsIllinois Senate Republican Caucus, 1041 words",10/11/16
Trevor Noah Brutally Skewers Donald Trump Over Tape Scandal,"The Huffington Post, 364 words",10/11/16
This Clinton-Trump Debate Duet Shows The Internet Has Given Up On Politics,"The Huffington Post, 471 words",10/11/16
Donald Trump Tells Florida Supporters The Wrong Date For Election Day,"The Huffington Post, 339 words",10/12/16
Cast And Crew Of 'Orange Is The New Black' Unite As 'Vaginas Against Trump',"The Huffington Post, 339 words",10/14/16
A British Magazine Just Summed Up The U.S. Election Perfectly,"The Huffington Post, 411 words",10/14/16
Donald Trump Inspires New NSFW Meaning Of The Acronym 'GOP',"The Huffington Post, 441 words",10/15/16
Site 'Liar Liar Trump On Fire' Gets Creative With Fact-Checking The Republican Nominee,"The Huffington Post, 438 words",10/17/16
Congresswoman Jan Schakowsky Accused of 'Orchestrated Political Violence',"New York Observer, 1291 words",10/19/16
Watch Rudy Giuliani And Mark Cuban Tangle In Their Own Debate,"The Huffington Post, 389 words",10/20/16
