Headline,Publication,Date
"14,000 Immigrants Once Again On The Move In Southern Mexico Trekking Toward The U.S. Border; Suspicious Packages Sent To Time Warner Center, Clinton, and Obama; Thirteen Days Until The Midterms; Sen. Kamala Harris: Americans Must Be 'Welcoming', 'Tolerant' to Caravan; Suspicious Packages Mailed To Clintons, Obamas, And CNN; Trump Rallies Voters In WI","Lou Dobbs Tonight, LOU DOBBS TONIGHT 7:00 PM EST, NEWS; Financial, 6581 words",10/24/18
Did you see how nice I'm behaving': Trump calls for a 'civil tone' in wake of bombing attempts on his political rivals as he makes Hollywood-style entrance by pulling up to Wisconsin rally in Air Force One,"MailOnline, NEWS; Version:7, 2416 words",10/24/18
"MTP DAILY WITH CHUCK TODD for October 24, 2018","MSNBC, MTP DAILY 5:00 PM EST, NEWS; Domestic, 8549 words",10/24/18
"Trump condemns series of attempted attacks on Democrats, CNN","Postmedia Breaking News, PMN NEWS, 465 words",10/24/18
"Trump Urges Unity, Says Violence Has No Place in US Politics After Bombs Sent to Democrats","Sputnik News Service, 169 words",10/24/18
Donald Trump speaks out after bomb threat saying: 'Political violence has no place in the US',"standard.co.uk, WORLD; Version:1, 356 words",10/24/18
"Trump condemns series of attempted attacks on Democrats, CNN","The Associated Press, WASHINGTON DATELINE, 1024 words",10/24/18
"Trump condemns 'political violence' after pipe bombs sent to prominent Democrats, says 'we have to unify'","The Business Insider, 1036 words",10/24/18
"Trump condemns series of attempted attacks on Democrats, CNN","The Today File, 498 words",10/24/18
Trump condemns political violence,"Aberdeen Evening Express, NWS; Pg. 10, 318 words",10/25/18
"Trump calls for unity, condemns violence after series of explosive devices sent to top Democrats","Armenpress News Agency (English), 229 words",10/25/18
Trump decries violence but calls on media to end 'hostility',"Associated Press International, DOMESTIC NEWS, 621 words",10/25/18
Bomb threats highlight risk of violent political rhetoric,"Associated Press International, POLITICAL NEWS, 1227 words",10/25/18
Trump decries violence but calls on media to end 'hostility',"Associated Press State & Local, STATE AND REGIONAL, 621 words",10/25/18
Trump condemns political violence but demands end to media 'hostility';The president was speaking as investigators hunted the perpetrator of thwarted bomb attacks against senior Democrats and others.,"Belfast Telegraph Online, WORLD; Version:1, 610 words",10/25/18
Trump calls for unity after mail bombs,"Daily Nation (Kenya), 123 words",10/25/18
US bomb threats: Critics blame Trump's toxic rhetoric,"Deutsche Welle World, 713 words",10/25/18
Sen. Ben Sasse interviewed,"Federal News Service, 1701 words",10/25/18
My Comrades Will Kill You': Pipe Bombs Sent in Year of Many Death Threats Against Politicians,"Governing, STATE AND REGIONAL NEWS, 1359 words",10/25/18
Trump should be worried about political violence,"Gulf Times, 514 words",10/25/18
"No place for political violence': Trump condemns sending of crude pipe bombs to Obama, Clintons","India TV, 1540 words",10/25/18
Survey: 1 In 7 Americans Are OK With Political Violence At Least 'Sometimes',"Investor's Business Daily, EDITORIALS, 639 words",10/25/18
Sarah Sanders says 'everyone has a role to play' in preventing violence but it's 'absolutely ludicrous' to blame the president for bomb threats against liberals as Trump doubles down on claim that it's the media's fault,"MailOnline, NEWS; Version:12, 2048 words",10/25/18
"Trump calls for unity, asks media to be responsible after suspicious packages sent to Democrats","Millennium Post Newspaper, 712 words",10/25/18
I'll thoroughly investigate suspicious packages – Trump,"News Chronicle (Nigeria), 226 words",10/25/18
NJ Legislative Leaders United In Condemnation of Attempted Bomb Attacks,"Newstex BlogsNew Jersey Senate Republican Caucus, 397 words",10/25/18
"After Suspicious Packages, Trump Tones Down Partisan Rhetoric, Attacks Media","NPR All Things Considered, All Things Considered 08:00 PM EST, 847 words",10/25/18
QUOTES OF THE DAY,"Press Association Mediapoint, HOME NEWS, 382 words",10/25/18
Donald Trump accused of hypocrisy over attack on 'media hostility' after pipe bombs sent to high-profile Democrats,"standard.co.uk, WORLD; Version:2, 897 words",10/25/18
Trump calls on media to end 'hostility' after thwarted bombs,"Telegraph Herald (Dubuque, IA), B; Pg. 8, 478 words",10/25/18
Trump decries violence but calls on media to end 'hostility',"The Associated Press, DOMESTIC NEWS, 621 words",10/25/18
"Trump Calls For \Unity\"";Commentators, Democrats Blame Him For Climate Of Violence""","The Frontrunner, LEADING THE NEWS, 4027 words",10/25/18
Donald Trump attacks media 'hostility' after attempted pipe bombings;US president says reporters have responsibility to set civil tone in speech after political opponents were targeted,"The Guardian(London), US NEWS; Version:5, 992 words",10/25/18
Twitter Explodes After 'Gaslighter' Sarah Sanders Accuses CNN Of Dividing America,"The Huffington Post, 1167 words",10/25/18
Trump condemns pipe bombs sent to Obama and Clinton,"The National (Scotland), 394 words",10/25/18
Alert after Obama and Clintons receive bombs in the post,"The Times (London), NEWS; Pg. 29, 501 words",10/25/18
Alert after Obama and Clintons receive bombs in the post,"The Times (London), NEWS; Pg. 35, 501 words",10/25/18
Alert after Obama and Clintons receive bombs in the post,"The Times (London), NEWS; Pg. 35, 504 words",10/25/18
Alert after Obama and Clintons receive bombs in the post,"The Times (London), NEWS; Pg. 37, 503 words",10/25/18
Bomb threats highlight risk of violent political rhetoric,"The Today File, 1272 words",10/25/18
Bomb alerts: Suspect package sent to Robert De Niro restaurant;Trump calls for unity and more respectful politics,"thetimes.co.uk, WORLD; Version:13, 1192 words",10/25/18
"Usual Dumbasses Declare Mail Bombs A Democrat Plot, Because Dumbasses","Wonkette, 1951 words",10/25/18
Mail bomb investigation collides with midterms' final weeks,"Associated Press International, POLITICAL NEWS, 762 words",10/26/18
Mail bomb investigation collides with midterms' final weeks,"Associated Press State & Local, POLITICAL NEWS, 762 words",10/26/18
Democrats no match for nationalist Trump;The willingness to go lower than many of us thought possible in U.S. politics is Mr. Trump s secret weapon,"Breaking News from globeandmail.com, OTHER, 855 words",10/26/18
Bomb scare rattles those touched by past political violence;Bomb scare rattles those touched by past political violence,"Canadian Press, INTERNATIONAL, 1331 words",10/26/18
Mail bomb investigation collides with midterms' final weeks;Mail bomb investigation collides with midterms' final weeks,"Canadian Press, INTERNATIONAL, 761 words",10/26/18
Package Bomb Suspect Faces Five Charges,"Congressional Quarterly News, 613 words",10/26/18
Bombing Suspect Arrested,"Crime and Consequences, 280 words",10/26/18
Trump hails arrest of mail bomb suspect as more packages surface,"Dayton Daily News (Ohio), NEWS, 536 words",10/26/18
"Man arrested in package bombs identified, charged with five counts","dpa international (Englischer Dienst), 99 words",10/26/18
"Man arrested in package bombs identified, charged with five counts","dpa-AFX International ProFeed, 108 words",10/26/18
Trump condemns mailing of suspicious packages as arrest made,"dpa-AFX International ProFeed, 563 words",10/26/18
Police charge suspect in package bombs with five federal crimes,"dpa-AFX International ProFeed, 681 words",10/26/18
they said what?,"Evening Chronicle, FEATURES; Pg. 65, 374 words",10/26/18
Discussion of bombing suspect,"Federal News Service, 2112 words",10/26/18
"Federal Authorities Arrested Suspect In Mailing Of The Suspicious Packages To Prominent Democrats; 14,000 Central American Migrants Continuing Their Push North Through Mexico Toward Southern Border; President Donald Trump Addresses Young Black Leadership Summit At White House; Caravan Crisis; Facebook Removes 82 Iranian Accounts Promoting Political Disinformation; Turkey Seeks Extradition Of 18 Suspects In Jamal Khashoggi Murder; Trump To Send 800 Troops To Southern Border; Trump Rallies In NC","Lou Dobbs Tonight, LOU DOBBS TONIGHT 7:00 PM EST, NEWS; Financial, 6488 words",10/26/18
Trump Speaks After Bomb Suspect Arrested: 'We Must Never Allow Political Violence to Take Root in America',"Mediaite, 155 words",10/26/18
Trump calls on media to end 'hostility'after thwarted bombs,"Medicine Hat News, WORLD; Pg. C6, 517 words",10/26/18
Rep. Schiff on KTLA 5: Divisive Nature of Trump's Rhetoric Has Consequences,"Newstex BlogsRep. Adam Schiff - Video (California), 119 words",10/26/18
Cicilline Statement on Arrest of Mail Bombing Suspect,"Newstex BlogsRep. David Cicilline (Rhode Island), 204 words",10/26/18
Group of House Democrats calls on Pompeo to condemn Brazil's Bolsonaro,"Politico.com, POLITICOPICKS, 485 words",10/26/18
Cicilline Slams Trump For \x91stoking’ Political Violence,"Providence Journal, A; Pg. 12, 790 words",10/26/18
REP. FRANKEL STATEMENT ON BOMB THREATS TO DEMOCRATS,"States News Service, 106 words",10/26/18
Trump Changes Tone From 'Bomb Stuff' To Calling Attempted Attacks 'Despicable',"Talking Points Memo, 129 words",10/26/18
Mail bomb investigation collides with midterms' final weeks,"The Associated Press, POLITICAL NEWS, 762 words",10/26/18
Why are fake bombs sent to Democrats more shocking than real ricin packages to Republicans?,"The Geller Report, 1320 words",10/26/18
They said what?,"The Journal (Newcastle, UK), NEWS; Pg. 33, 298 words",10/26/18
Bomb scare rattles those touched by past political violence,"The Today File, 1339 words",10/26/18
Bombs and a Murder: Trump and MBS Share Even More Than You Think,"Tikun Olam: Make The World A Better Place, 2173 words",10/26/18
Rep. Frankel Statement on Bomb Threats to Democrats,"US Official News, 121 words",10/26/18
Rep. Frankel Statement on Bomb Threats to Democrats,"US Official News, 121 words",10/26/18
AP FACT CHECK: Did Trump think mail bombs were liberal plot?,"Associated Press International, BUSINESS NEWS; AP Fact Check, 2165 words",10/27/18
A President Who Condones Political Violence,"Michael-In-Norfolk - - Coming Out In Mid Life, 888 words",10/27/18
President Trump blasts the media at a late-night rally in North Carolina,"NBC News, TODAY SHOW 7:00 AM EST, NEWS; Domestic, 1738 words",10/27/18
Suspect Charged With 5 Federal Crimes in Mail Bombs Sent to Trump Opponents,"Newstex BlogsWestern Free Press( Arizona), 1074 words",10/27/18
AP FACT CHECK: Did Trump think mail bombs were liberal plot?,"Postmedia Breaking News, PMN BUSINESS, 2180 words",10/27/18
NYC offices of CNN evacuated over package,"The Acorn: Drew University, NEWS; Pg. 1, 485 words",10/27/18
Bomb scare rattles those touched by violence,"The Bismarck Tribune, C; Pg. 2, 854 words",10/27/18
OPINION;The Democrats are no match for 'nationalist' Trump,"The Globe and Mail (Canada), OPINION; Pg. O11, 808 words",10/27/18
Michael Moore: Fox News Helped Create Generation Of 'Violent Conspiracy Theorists',"The Huffington Post, 318 words",10/27/18
DEFUSE AMERICA’S EXPLOSIVE POLITICS,"Wall Street Journal Abstracts, A; Pg. 13, 34 words",10/27/18
Acts or threats,"Daily Record and Sunday Mail, NEWS; Pg. 32, 47 words",10/28/18
Pence rejects any link between Trump's rhetoric and attacks,"Politico.com, POLITICOPICKS, 580 words",10/28/18
Everyone has their own style': Pence says Trump's inflammatory rhetoric had nothing to do with synagogue gun rampage,"Postmedia Breaking News, WORLD, 792 words",10/28/18
Everyone has their own style': Pence says Trump's inflammatory rhetoric had nothing to do with synagogue gun rampage,"Postmedia Breaking News, WORLD, 823 words",10/28/18
Bomb scare rattles those touched by past political violence,"St. Louis Post-Dispatch (Missouri), NEWS; Pg. A8, 1287 words",10/28/18
"Trump lashes out at Tom Steyer, calling him a 'crazed stumbling lunatic' days after a suspicious package was sent to the liberal billionaire","The Business Insider, 1037 words",10/28/18
Pence: Don't link political rhetoric to Pittsburgh,"The Daily Gleaner (New Brunswick); Pg. B1, 484 words",10/29/18
"Trump Slams \Wacky Tom Steyer\"" For Accusing Him Of Sparking \""Political Violence.\""""","The Frontrunner, LEADING THE NEWS, 726 words",10/29/18
Pence: Don't link political rhetoric to Pittsburgh synagogue shooting,"The Telegraph-Journal (New Brunswick); Pg. A7, 485 words",10/29/18
Pence: Don't link political rhetoric to Pittsburgh synagogue shooting,"The Times & Transcript (New Brunswick); Pg. B12, 484 words",10/29/18
Violence Ahead Of US Election Puts Trump's Harsh Rhetoric In Focus,"Alliance News, 728 words",10/30/18
Political Violence - Republican Party Headquarters Shot Up in Florida,"AmmoLand.com, 770 words",10/30/18
Violence ahead of US election puts Trump's harsh rhetoric in focus,"dpa-AFX International ProFeed, 799 words",10/30/18
What Is at Stake in the US Midterm Elections?,"Fair Observer, 1300 words",10/30/18
Violence Ahead Of US Election Puts Trump's Harsh Rhetoric In Focus,"Live Briefs PRO Global Markets, 722 words",10/30/18
"DIVERSE COALITION SAYS PRESIDENT TRUMP EMBRACES ANTISEMITISM, LABELS PITTSBURGH SYNAGOGUE SHOOTING 'DIRECT RESULT OF RHETORIC THAT DEMONIZES JEWS AND CELEBRATES POLITICAL VIOLENCE'","States News Service, 495 words",10/30/18
Andrew Gillum: Trump Needs To Learn His Lesson And Grow Up,"The Huffington Post, 959 words",10/30/18
Cicilline Statement on Arrest of Mail Bombing Suspect,"US Official News, 202 words",10/30/18
Another 'Civil War'? Pessimism About Political Violence Deepens In A Divided Nation,"NPR All Things Considered, All Things Considered 08:00 PM EST, 749 words",10/31/18
Muslim Advocates Issues Statement on President Trump,"Targeted News Service, 270 words",11/1/18
Who’s to Blame for American Political Violence?,"The New York Times , OPINION, 749 words",11/1/18
It's Time to Stand Up for Journalists [press release],"Global Witness, 684 words",11/2/18
Politico Poll: Americans Blame Trump and Media for Dividing the Country,"Mediaite, 234 words",11/2/18
"Michael Cohen Drops Bombshell: Trump Made Racist Comments, Said Black People 'Too Stupid' to Vote For Him","Mediaite, 542 words",11/2/18
Trump 'calls real things fake and fake things real': Republican Jeff Flake grabs Trump by the collar over his claim that 'fake news' is behind political violence,"The Business Insider, 888 words",11/3/18
Half Of Americans Say Trump Incites Political Violence,"jobsanger, 137 words",11/4/18
Why is the New York Times publishing fascist propaganda?,"Lawyers, Guns, and Money, 980 words",11/5/18
Billionaire former New York mayor Michael Bloomberg throws himself into center of midterms and 2020 speculation with massive $5 million ad buy in primetime,"MailOnline, NEWS; Version:6, 604 words",11/5/18
"A 'blue surge' is due - but without a popular leader Democrat success is unlikely to last beyond the midterms;There seems to be no'story'that can win back, on a permanent, national basis, the blue-collar vote that defected to Trump in 2016","The Independent (United Kingdom), EDITORIALS; Version:1, 880 words",11/5/18
Mail bomb suspect to appear in New York court on Tuesday,"dpa-AFX International ProFeed, 181 words",11/6/18
"CNN, Obama mail bomb suspect to be detained without bail in New York","dpa-AFX International ProFeed, 202 words",11/6/18
A 'blue surge' won't last past the midterms without some Democrat charisma,"The Independent - Daily Edition, NEWS; Pg. 2, 881 words",11/6/18
Society did not neglect war veterans,"Irish Independent, REVIEW;NEWS; Pg. 6,7, 1152 words",11/10/18
The Atlantic Politics & Policy Daily: Wing Leaders,"Atlantic Online, 619 words",11/14/18
Political violence as a symptom of democracy in decline,"The California Aggie: University of California, Davis, OPINION; Pg. 1, 796 words",11/20/18
The elephant in the room,"The McGill Tribune: McGill University, OPINION; Pg. 1, 606 words",11/20/18
Finding Excuses to Blame the Left in the Wake of Right-Wing Terror," Extra!, 825 words",12/1/18
From death to a larger liberty,"Daily Financial Times, 1067 words",1/9/19
Attack on AfD's Bremen leader leaves Germany's left wing paralysed;Far-right party has taken opponents' hesitation as proof of double standards,"The Irish Times, WORLD; Pg. 9, 682 words",1/10/19
Venezuela: Call It What It Is—a Coup,"The Nation Blogs, 806 words",1/25/19
IRISH PLAY CELEBRATES CHILDHOOD AT PLAY,"South Bend Tribune (Indiana); T; Pg. T6, 752 words",2/14/19
"For Hong Kong democrats, a time to reflect: is there a way forward?","Hong Kong Free Press, 4497 words",2/23/19
"U.S. Attorney decries \political violence\"" of GOP fire""","The Wyoming Tribune-Eagle (Cheyenne), LOCAL NEWS; news; Pg. 2, 438 words",3/20/19
Thailand's election explained: a battle royale for junta's Prayuth Chan-ocha and the Shinawatras,"South China Morning Post.com, ASI, 1743 words",3/22/19
Republican Trump supporter Cesar Sayoc pleads guilty to sending pipe bombs to president's critics,"standard.co.uk, CRIME; Version:1, 351 words",3/22/19
Police hunt killer of Lyra McKee as leaders unite in condemnation;Northern Ireland's six main parties say they reject those responsible for journalist's death,"The Guardian(London), NEWS; Version:6, 1045 words",4/19/19
Why President Trump 'Thinks' He's Pro Gun,"AmmoLand.com, 1011 words",6/14/19
Antifa activist shot and killed by police during ATTACK on ICE detention center; PRAISED as a 'martyr'!,"The Last Tradition, 141 words",7/14/19
7 Disturbing Episodes Of Left-Wing Violence That Have Occurred Since Trump Was Elected,"Right Wing News, 486 words",7/23/19
CRIST: REPUBLICANS BLOCK HOUSE PASSAGE OF VENEZUELAN TPS,"States News Service, 169 words",7/23/19
CRIST APPLAUDS HOUSE PASSAGE OF VENEZUELAN TPS,"States News Service, 204 words",7/25/19
Washington state hires firm to investigate Republican,"Times Colonist (Victoria, British Columbia), CANADA; Pg. A6, 317 words",7/30/19
2 Proud Boys convicted in 2018 clash with protesters,"The Today File, 154 words",8/19/19
Two Proud Boys Convicted For 'Brutal Act Of Political Violence' Outside GOP Club,"Gothamist, 677 words",8/20/19
Jury Convicts Two Members Of Proud Boys In Manhattan Brawl,"The Frontrunner, WASHINGTON NEWS, 159 words",8/20/19
Proud Boys Convicted In NY Beating As Trump Calls For Labeling Their Targets A Terror Group,"The Huffington Post, 970 words",8/20/19
Shea very unlikely to be expelled from legislature Washington House has ousted only one lawmaker,"Spokesman Review (Spokane, WA), A; Pg. 001, 1713 words",9/1/19
Identity fusion' with leaders boosts support for political violence,"Newstex Blogs Futurity.org, 560 words",9/3/19
COLLINS STATEMENT ON H.R. 2708 MARKUP,"States News Service, 484 words",9/10/19
"Meanwhile, in Ohio: inciting political violence in defense of corporate bailouts","Newstex Blogs Lawyers, Guns, and Money, 1016 words",9/15/19
Tim 'Chairman' Eyman hearts militant extremist Matt Shea: 'You're awesome!',"Newstex BlogsNorthwest Progressive Institute Advocate( Virginia), 1423 words",9/30/19
Trump violently attacks media figures in supporter's event meme: NYT,"Newstex Blogs Digital Journal, 257 words",10/14/19
Trump Violently Attacks Media Figures In Supporter's Event Meme: NYT,"Newstex Blogs International Business Times News, 281 words",10/14/19
Trump Violently Attacks Media Figures In Supporter Event Meme: NYT,"Newstex Blogs International Business Times News, 387 words",10/14/19
White House Condemns Video Of Fake Trump Attacking Media,"Newstex Blogs International Business Times News, 541 words",10/14/19
Opponents of Trump seen as bigger threat of violence,"Newstex Blogs Prairie Pundit, 254 words",11/22/19
Probe of Rep. Shea completed Lawmakers set to receive findings of House-ordered investigation,"Spokesman Review (Spokane, WA), C; Pg. 001, 777 words",11/30/19
Valley Democrat challenges Rep. Shea,"Spokesman Review (Spokane, WA), C; Pg. 002, 684 words",12/18/19
Investigation finds Washington state representative took part in 'domestic terrorism',"CNN.com, POLITICS, 772 words",12/20/19
Terrorist Matt Shea must be expelled from the Washington State House of Representatives,"Newstex BlogsNorthwest Progressive Institute Advocate( Virginia), 1155 words",12/20/19
"Republican Matt Shea 'participated in act of domestic terrorism', says report;Report produced for Washington state legislature following reporting from the Guardian and other outlets on Shea's activities","The Guardian(London), US NEWS; Version:3, 1071 words",12/20/19
Trump loyalist who wants to set up 51st state based on far-right Christian values accused of domestic terrorism;Matt Shea dismisses official report as 'sham investigation',"The Independent (United Kingdom), AMERICAS; Version:4, 870 words",12/20/19
Have a very fascist Christmas!,"Newstex Blogs Lawyers, Guns, and Money, 494 words",12/23/19
Report Claims Washington State Lawmaker Participated In Act Of Terrorism,"NPR All Things Considered, All Things Considered 11:00 AM EST, 947 words",12/23/19
Guinea Monthly Briefing January 2020," ARC Briefing Guinea, 2548 words",1/1/20
Experts clash over claim second independence vote will spark violence,"thetimes.co.uk, NEWS; Version:1, 566 words",1/7/20
Two More Bernie Sanders Field Organizers Affirm Support for Soviet Communism,"Newstex Blogs Moonbattery, 555 words",1/28/20
"After Legislator Calls for Shooting People With Different Political Opinions, DGA Calls on Greg Gianforte to Condemn Political Violence","Targeted News Service, 207 words",2/6/20
Republican leaders condemn van attack on Jacksonville voter drive,"Newstex BlogsFlorida Politics, 703 words",2/9/20
Political Violence is Rising and Escalating,"Newstex Blogs Granite Grok, 781 words",2/10/20
Michael Bloomberg sees congregants turn their backs on him in historically black church in Selma;Billionaire candidate joins presidential hopefuls to recognise 55th anniversary of Bloody Sunday bridge-crossing in Alabama,"The Independent (United Kingdom), US ELECTION; Version:2, 367 words",3/1/20
United States : Sen. Cruz Co-Sponsors Resolution to Censure Sen. Schumer for Threatening Supreme Court Justices,"TendersInfo, 94 words",3/11/20
International Republican Institute and Dartmouth's Political Violence FieldLab Partner on Research and Evaluation to Strengthen Democracy,"Targeted News Service, 215 words",3/14/20
Republican repeats call for political violence,"The Santa Fe New Mexican, B; Pg. 1, 532 words",5/28/20
New Report Finds Many Voters in Both Parties Are Open to Questioning the Legitimacy of the Election If Their Candidate Loses;One in ten Democrats and Republicans say political violence will be called for if their side doesn't win the White House in 2020,"Business Wire, 668 words",6/29/20
Sinn Féin is no closer to achieving a united Ireland than it was in 1994,"Irish News; A3F2, 337 words",7/17/20
Leftist Political Violence: Murder of black Trump supporter Bernell Trammell spurs call for federal investigation,"Newstex Blogs The Last Tradition, 267 words",7/25/20
BlogQuestion of the Day - horrible for those trapped within it but they decided to make it all political,"Newstex Blogs Granite Grok, 615 words",7/29/20
"John Hume, Northern Ireland Political Icon, Nobel Peace Prize Recipient, Dies At 83","Newstex Blogs International Business Times News, 864 words",8/3/20
"Senator Ted Cruz calls riots 'organized terror attacks', slams Black Lives Matter protesters as 'avowed Marxists' and blasts Democrats for 'letting cities burn' ahead of his Antifa hearing","MailOnline, NEWS; Version:2, 1127 words",8/4/20
CHARLIE KIRK: Democrats Are In Willful Denial About Antifa,"The Daily Caller, OPINION, 690 words",8/5/20
What the MSM Was Afraid to Tell You,"Newstex Blogs Moonbattery, 341 words",8/9/20
Justin Ling: Someone is going to get killed,"Postmedia Breaking News, FULL COMMENT, 1233 words",8/13/20
Justin Ling: Threats to Trudeau and his cabinet up 30% - someone is going to get killed,"Postmedia Breaking News, FULL COMMENT, 1233 words",8/13/20
Justin Ling: Threats to Trudeau and his cabinet up 30% - someone is going to get killed,"Postmedia Breaking News, FULL COMMENT, 1233 words",8/13/20
"Someone is going to get killed; Violent harassment of politicians is now routine, Justin Ling writes","The Star Phoenix (Saskatoon, Saskatchewan), OPINION; Pg. A6, 1231 words",8/14/20
Violence against politicians must be met head on,"The Daily Gleaner (New Brunswick), COMMENTARY; Pg. A7; Commentary, 1238 words",8/19/20
Violence against politicians must be met head on,"The Telegraph-Journal (New Brunswick), COMMENTARY; Pg. A7, 1237 words",8/19/20
Violence against politicians must be addressed head on,"The Times & Transcript (New Brunswick), COMMENTARY; Pg. A11, 1237 words",8/19/20
"President Trump Sending Federal Officers to Support Law Enforcement in Kenosha, Wisconsin","Newstex Blogs The Conservative Treehouse, 673 words",8/26/20
Political violence: thinking about the unthinkable,"Newstex Blogs The Rational Optimist, 1184 words",8/27/20
Rand Paul Calls Out Democrat Silence On Political Violence: 'This Mob Is Their Voters',"Newstex Blogs Tony Phyrillas, 74 words",8/29/20
Watch Prominent Democrats Call for Violence,"Newstex Blogs Moonbattery, 208 words",9/1/20
Donald Trump has dragged Joe Biden on to his own turf," FT.com, 791 words",9/2/20
Bennet brazenly takes every possible stance on violent protests,"Newstex BlogsColorado Peak Politics, 314 words",9/2/20
Trump has dragged Biden on to his own turf,"Financial Times (London, England), NEWS; Pg. 17, 784 words",9/3/20
Trump has dragged Biden on to his own turf,"Financial Times (London, England), NEWS; Pg. 17, 784 words",9/3/20
Trump has dragged Biden on to his own turf,"Financial Times (London, England), NEWS; Pg. 19, 784 words",9/3/20
Trump has dragged Biden on to his own turf,"Financial Times (London, England), NEWS; Pg. 23, 784 words",9/3/20
Opinion | Robert Kennedy's Lesson on Political Violence That Joe Biden Needs to Learn,"Politico.com, POLITICOPICKS, 1711 words",9/9/20
Evidence Accrues That Black Lives Matter Is a Terrorist Organization,"Newstex Blogs Moonbattery, 573 words",9/10/20
Hume: Rest in peace,"Eolas Magazine; issue-41public-affairs, 1660 words",9/11/20
Democrats in Deep With Black Lives Matter Riots,"Newstex Blogs Moonbattery, 805 words",9/11/20
Brexit Is the IRA's Biggest Recruitment Tool,"Newstex Blogs Foreign Policy, 2073 words",9/14/20
"RICHARDS: In A Time Of Violence, Americans Must Take A Stand Against Lawlessness","The Daily Caller, OPINION, 1117 words",9/14/20
Hume: Rest in peace,"AgendaNi; issue-101public-affairs, 1407 words",9/15/20
The political extortion of the left in this country,"Newstex Blogs Prairie Pundit, 105 words",9/15/20
US and Eh?! Show - Tonight!,"Newstex Blogs iOTWreport, 165 words",9/23/20
Patel: Democrats' Complaints About The Coming Supreme Court Vote Don't Pass The Smell Test,"The Daily Caller, OPINION, 1150 words",9/25/20
Far-Right Group That Trades in Political Violence Gets a Boost,"The New York Times , US, 1586 words",9/30/20
"The Proud Boys, Who Trade in Political Violence, Get a Boost From Trump","Economic News, 1557 words",10/1/20
Opinion | Americans Increasingly Believe Violence is Justified if the Other Side Wins,"Politico.com, POLITICOPICKS, 1593 words",10/1/20
Far-Right Group That Trades in Political Violence Gets a Boost,"The New York Times, Section A; Column 0National Desk; Pg. 18, 1554 words",10/1/20
MALCOLM: Let's avoid dishonest spin and focus on what unites,"Toronto Sun, COLUMNISTS, 836 words",10/4/20
"IRA threat to Brexit border posts in Ulster: Checkpoints in Northern Ireland could become targets for dissident republicans after we leave EU, MPs warn","MailOnline, NEWS; Version:2, 762 words",10/5/20
HOUSE DEMOCRATIC LEADER CHRISTINE GREIG ON THE RIGHT-WING MILITIA'S PLAN TO KIDNAP GOVERNOR WHITMER,"States News Service, 164 words",10/8/20
Domestic Terrorism,"The New York Times , BRIEFING, 1835 words",10/9/20
U.S. on the edge of a civil war,"Tehran Times, 1104 words",10/10/20
Unionism was first to use political violence in support of dictatorship,"Irish News; A3F2, 108 words",10/13/20
"As Trump’s Language Grows More Heated, Fears Rise of Political Violence","The New York Times , US; politics, 1870 words",10/15/20
American Nightmare,"The Almanian: Alma College, NEWS; Pg. 1, 798 words",10/16/20
"As Trump's Language Grows More Heated, Fears Rise of Political Violence","The New York Times - International Edition, US, 1871 words",10/17/20
Professor Calls Out GOP After Fmr Trump Official Blames President for Inspiring Political Violence,"Newstex Blogs Law and Crime, 880 words",10/18/20
"Turkey and Hungary's Autocratic Ruling Parties Similar To US Republican Party, Study Finds","Newstex Blogs International Business Times News, 571 words",10/26/20
CONSEQUENCES OF POLARIZATION,"Pittsburgh Post-Gazette, EDITORIAL; Pg. A-10, 426 words",10/28/20
CONSEQUENCES OF POLARIZATION,"Pittsburgh Post-Gazette, OPINION; Pg. A-10, 426 words",10/28/20
USA.- USA chooses between four more trump years or change with Biden,"CE Noticias Financieras English, 1214 words",11/2/20
Trump Promotes Political Violence In Defense Of Supporters Who Swarmed Biden Bus,"Newstex Blogs The Huffington Post, 1533 words",11/2/20
Election Day is almost here: What are the chances of serious political violence?,"Salon.com, 2763 words",11/2/20
"On the Eve of Election Day, Harvard Students Report Anxiety and Anticipation","The Harvard Crimson: Harvard University, COLLEGE NEWS; Pg. 1, 829 words",11/2/20
Democrats prepared for 'the worst' amid election eve anxiety,"The Guardian (London), AUSTRALIA NEWS; Version:2, 969 words",11/3/20
Humility on both sides is what the US needs now,"The Courier Mail (Australia), LETTERS; Pg. 39, 326 words",11/9/20
SCALISE: POLITICAL VIOLENCE HAS NO PLACE IN AMERICA,"States News Service, 352 words",11/17/20
"THE IRISH CRISIS;from the times november 28, 1920","The Times (London), LETTERS; Pg. 30, 374 words",11/28/20
"THE IRISH CRISIS;from the times november 28, 1920","The Times (London), LETTERS; Pg. 32, 374 words",11/28/20
"THE IRISH CRISIS;from the times november 28, 1920","The Times (London), LETTERS; Pg. 36, 374 words",11/28/20
He certainly burst ghosts,"CE Noticias Financieras English, 442 words",12/7/20
Trump-supporting 'Stop the Steal' mobs are a reminder that political violence is always inexcusable,"Newstex Blogs The Business Insider, 1722 words",12/8/20
"Dr. Seth Norrholm: How to survive the physical, financial and emotional abuse of the Trump era","Salon.com, 2297 words",12/21/20
Huffman leads call for ban on lawmakers toting guns at Capitol,"The Press Democrat, Santa Rosa, Calif., STATE AND REGIONAL NEWS, 609 words",12/24/20
